CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201700393759,7,1,57,2582,57,1,6,3,0,11,20,12,12,1,2,0,48,38,48038,4,2017,4S3GKAA65H16,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,3,55.481121921
201700394153,2,2,67,1919,67,1,10,1,0,12,9,15,14,0,2,0,20,25,20025,4,2012,1G1PF5SC9C73,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,4,5,12,0,0,0,777777777777,777777777777,777777777777,8,202.68214761
201700394543,2,2,27,896,27,1,10,1,0,12,8,39,14,0,2,0,12,27,12027,5,2015,1FADP5AU3FL1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,6,201.4770617
201700394620,2,3,83,2810,83,1,10,1,0,11,17,30,14,0,2,0,20,9,20009,2,1999,2G1FP22K9X21,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,13,209.74686601
201700394729,1,3,82,2137,82,2,10,1,0,11,12,15,14,0,2,0,21,21,21021,4,2003,1G3NL52E73C3,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,8,2,5,12,0,0,0,777777777777,777777777777,777777777777,19,200.99400511
201700394768,2,3,82,2168,82,2,10,1,0,11,11,55,14,0,2,0,20,2,20002,4,2015,2G1WA5E33F11,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,19,200.99400511
201700395145,2,3,65,2851,65,1,10,1,0,12,15,1,40,0,2,0,13,421,13421,15,2004,5LMFU27R34LJ,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,777777777777,777777777777,777777777777,13,205.9565289
201700396734,2,3,35,2793,35,1,5,1,1,11,23,53,14,0,2,0,51,881,51881,66,2007,4V4NC9TJ47N4,1,57,02953627,5702953627,3,6,98,1,0,0,0,0,0,0,0,6,6,2,12,0,0,0,888888888888,777777777777,777777777777,13,22.236029506
201700397057,2,2,67,1919,67,1,10,1,0,12,8,34,14,0,2,0,7,422,7422,15,2013,1C4RDJAGXDC6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,2,5,12,0,0,0,777777777777,777777777777,777777777777,8,202.68214761
201700397823,2,4,41,162,41,1,10,1,0,11,22,28,14,0,2,0,35,473,35473,34,2005,1N6AA07A35N5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,22,223.42874434
201700397823,3,4,41,162,41,1,10,1,0,11,22,28,14,0,2,0,20,481,20481,34,2012,3GCPCSEA1CG1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,8,5,14,0,0,0,777777777777,777777777777,777777777777,22,223.42874434
201700399042,2,1,15,2513,15,2,8,1,1,11,20,50,14,0,2,0,12,23,12023,4,2010,3FAHP0HA0AR1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,5,128.1288076
201700399402,2,3,83,2810,83,1,8,1,0,11,17,58,14,0,2,0,35,47,35047,4,2011,1N4AL2AP9BN4,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,10,4,5,12,0,0,0,777777777777,777777777777,777777777777,13,125.68787158
201700399512,1,2,47,2034,47,2,10,1,1,11,19,44,14,0,2,0,20,404,20404,14,2013,2GNALBEK5D61,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,4,5,12,0,0,0,777777777777,777777777777,777777777777,9,205.30185598
201700399545,2,2,27,893,27,1,9,1,0,12,1,31,14,0,2,0,49,472,49472,34,2016,3TMDZ5BN6GM0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,6,150.88223715
201700400391,2,3,33,1481,33,1,10,1,0,11,1,16,14,0,2,0,20,421,20421,15,2007,1GNFK13037R1,1,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,4YMUL07179V0,777777777777,777777777777,11,207.67319889
201700400420,2,1,76,2364,76,1,10,1,0,12,17,18,14,0,2,0,20,404,20404,14,2013,1GNFLEEK5DZ1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,2,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,214.67562369
201700400574,2,4,41,163,41,1,3,1,0,12,13,36,14,0,2,0,37,402,37402,14,2014,5J6RM4H35EL0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,8,5,12,0,0,0,777777777777,777777777777,777777777777,22,26.345905053
201700400588,2,2,67,1925,67,1,8,1,0,11,16,41,14,0,2,0,20,404,20404,14,2005,2CNDL73F4560,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,14,0,0,0,777777777777,777777777777,777777777777,8,120.5459308
201700400588,3,2,67,1925,67,1,8,1,0,11,16,41,14,0,2,0,7,482,7482,34,2007,1D7HU18P87S1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,14,0,0,0,777777777777,777777777777,777777777777,8,120.5459308
