YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,1,10197,1,2,2,1,1,1,3,4,1,3,1983,2,2
1987,1,10198,2,2,2,1,1,1,3,4,1,3,1985,2,2
1987,1,10199,1,2,2,2,1,1,3,4,1,3,1979,2,2
1987,2,10199,1,5,5,2,1,1,3,4,2,3,1979,2,2
1987,1,10200,1,3,3,2,1,1,3,4,2,3,1987,2,2
1987,2,10200,1,2,2,2,1,1,3,4,2,3,1975,2,2
1987,1,10201,2,2,2,2,1,1,3,4,2,3,1984,2,2
1987,2,10201,1,5,5,2,1,1,3,4,2,3,1984,2,2
1987,1,10202,1,2,2,1,1,1,3,4,1,3,1984,2,2
1987,1,10203,1,1,1,1,1,1,3,4,1,3,1985,2,2
1987,1,10204,1,3,3,2,2,2,3,4,1,3,1980,2,2
1987,1,10205,3,1,1,1,1,1,3,4,2,3,1979,2,2
1987,1,10206,1,2,2,1,3,3,3,4,1,3,1984,2,2
1987,1,10207,1,2,2,1,1,1,3,4,1,3,1982,2,2
1987,1,10208,1,2,2,2,1,1,3,4,2,3,1986,2,2
1987,2,10208,1,2,2,2,1,1,3,4,2,3,1984,2,2
1987,3,10208,1,7,7,1,1,1,3,4,2,3,1985,2,2
1987,1,10209,1,1,1,1,2,2,3,4,2,3,1971,2,2
1987,1,10210,1,2,2,2,1,1,3,4,2,3,1979,2,2
1987,2,10210,4,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10211,2,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10212,4,6,6,2,1,1,3,4,2,3,1967,2,2
1987,1,10213,1,2,2,2,1,1,3,4,2,3,1967,2,2
1987,1,10214,1,2,2,2,1,1,3,4,1,3,1975,2,2
1987,2,10214,2,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10215,1,2,2,2,1,1,3,4,1,3,1978,2,2
1987,2,10215,2,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10216,1,3,3,2,1,1,3,4,2,3,1986,2,2
1987,1,10217,1,1,1,1,1,1,3,4,2,3,1976,2,2
1987,1,10218,2,2,2,2,1,1,3,4,1,3,1976,2,2
1987,1,10219,1,3,3,2,1,1,3,4,1,3,1982,2,2
1987,1,10220,1,2,2,2,1,1,3,4,2,3,1984,2,2
1987,1,10221,2,2,2,1,1,1,3,4,2,3,1986,2,2
1987,2,10221,1,2,2,2,1,1,3,4,2,3,1984,2,2
