YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600017384,137.27110719,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1
2016,201600017388,140.52306969,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017399,24.56993937,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2016,201600017608,174.05401633,3,2,1,1,1,3,1,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600017625,181.67007486,3,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017694,139.83639946,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600017728,59.69605321,2,2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600017781,268.97048064,3,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600017782,190.80745571,3,2,1,1,1,5,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600017785,161.03680272,2,2,1,2,2,4,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017796,292.62224233,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017799,190.36350382,3,2,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600017899,268.97048064,3,1,3,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600017900,54.086402528,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018097,181.67007486,2,2,1,1,1,5,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2
2016,201600018174,326.43196105,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018175,31.455210339,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018178,157.28668893,2,2,4,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018190,427.41720998,3,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018198,326.43196105,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018200,27.373814448,4,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018206,540.79363666,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018221,130.17618946,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2
2016,201600018228,51.573654892,2,2,1,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018229,29.895221382,2,1,4,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018231,215.218122,3,1,1,2,2,5,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1
2016,201600018235,129.82708256,3,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018236,146.52410486,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018244,29.895221382,2,2,4,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018247,29.895221382,2,2,4,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018249,146.52410486,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018259,51.573654892,2,2,4,2,2,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2
2016,201600018260,29.895221382,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600018262,146.52410486,3,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018269,215.218122,3,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018270,146.52410486,3,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018280,215.218122,3,2,4,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1
2016,201600018282,28.248233112,2,2,1,2,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2
2016,201600018284,146.52410486,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018293,51.573654892,2,2,1,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018294,146.52410486,3,2,1,1,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018300,215.218122,3,2,4,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,1
2016,201600018302,146.52410486,3,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600018309,51.573654892,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600018313,215.218122,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018315,146.52410486,3,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018324,146.52410486,3,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018326,129.82708256,3,2,1,2,2,5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600018333,130.17618946,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2
2016,201600018335,215.218122,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018344,146.52410486,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600018351,130.17618946,2,2,1,1,1,4,1,1,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1
