CASENUM,VEH_NO,PSU,PJ,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600035845,2,75,1227,9,1,0,3,22,59,14,0,2,0,12,401,12401,14,1996,1FMDU34X1TUD,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,138.13123133
201600035848,2,75,1231,9,1,3,3,15,7,14,0,2,0,35,50,35050,4,2014,3N1CN7AP6EL8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,138.13123133
201600036789,2,15,2509,10,1,0,1,22,27,14,0,2,0,37,402,37402,14,2012,JHLRM4H73CC0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,3,12,0,0,0,777777777777,777777777777,777777777777,2,1,5,15,204.29790037
201600036789,3,15,2509,10,1,0,1,22,27,14,0,2,0,7,442,7442,20,1998,2B4GP44G2WR7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,1,5,15,204.29790037
201600036789,4,15,2509,10,1,0,1,22,27,14,0,2,0,9,20,9020,4,1999,1P3ES47C7XD1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,1,5,15,204.29790037
201600036806,2,15,2509,7,1,0,1,17,24,14,0,2,0,2,404,2404,14,1997,1J4GZ58S9VC5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,1,5,15,121.09708181
201600038024,2,67,1919,10,1,0,1,10,50,14,0,2,0,12,37,12037,4,2010,1FAHP3HN2AW1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,2,8,67,216.49883693
201600038187,2,75,1223,6,1,2,3,23,48,14,0,2,0,20,27,20027,4,2013,6G1MK5R20DL8,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,5,5,6,6,2,12,41,0,0,777777777777,777777777777,777777777777,2,3,19,75,46.247547909
201600038277,2,75,1227,10,1,0,3,1,20,14,0,2,0,41,50,41050,4,2008,1YVHP80C185M,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600038277,3,75,1227,10,1,0,3,1,20,14,0,2,0,20,443,20443,20,2002,1GNDV13E32D2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,75,205.52548782
201600038732,2,37,3200,10,1,0,2,15,30,14,0,2,0,9,442,9442,20,1996,1P4GP44R0TB2,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,6,2,12,0,0,0,777777777777,777777777777,777777777777,2,4,24,37,322.7347052
201600038802,2,65,2881,2,1,0,2,8,42,8,0,2,0,30,46,30046,4,2014,1VWCN7A32EC0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,28.376898228
201600038888,2,70,138,10,1,0,3,99,99,14,0,2,0,7,26,7026,4,2013,1C3CDZAG5DN5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,215.218122
201600038924,2,70,138,10,1,0,3,14,0,14,0,2,0,13,1,13001,4,1996,1LNLM82WXTY7,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,2,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,215.218122
